Temperature,Humidity,Sunlight_Hours,Water_Frequency,Soil_Type,Fertilizer_Type,Growth_Stage
23.6,84.0,5.4,6,sandy,none,Seedling
20.4,48.7,11.7,5,loamy,chemical,Flowering
25.1,57.9,11.6,4,loamy,chemical,Fruiting
26.4,54.1,13.9,5,clay,organic,Fruiting
26.3,63.7,7.7,5,loamy,organic,Vegetative
23.4,56.8,10.4,5,loamy,organic,Flowering
25.1,60.2,11.8,4,loamy,chemical,Fruiting
25.5,64.3,6.2,5,loamy,organic,Vegetative
21.7,53.2,9.8,3,loamy,chemical,Flowering
20.9,50.3,10.6,3,loamy,chemical,Flowering
27.3,50.8,9.2,5,loamy,chemical,Fruiting
24.0,55.7,8.1,4,loamy,organic,Flowering
20.1,45.2,10.6,4,loamy,chemical,Flowering
28.1,63.5,9.4,5,loamy,chemical,Fruiting
28.7,55.8,12.5,6,clay,chemical,Fruiting
22.6,51.8,9.9,5,loamy,chemical,Flowering
22.9,57.1,10.3,5,loamy,chemical,Flowering
25.9,57.8,13.1,4,clay,chemical,Fruiting
27.0,57.2,8.5,4,loamy,organic,Vegetative
23.1,58.9,9.8,5,loamy,chemical,Flowering
22.7,60.0,6.7,6,clay,chemical,Vegetative
26.0,65.8,6.9,4,loamy,organic,Vegetative
28.8,50.9,10.4,4,clay,chemical,Fruiting
24.1,63.4,6.1,5,clay,chemical,Vegetative
23.3,45.9,9.2,4,loamy,chemical,Flowering
26.1,54.4,11.5,4,clay,organic,Fruiting
22.6,63.1,8.5,4,loamy,organic,Vegetative
21.0,83.6,5.8,5,sandy,none,Seedling
27.3,59.3,10.6,6,clay,chemical,Fruiting
22.5,70.0,8.6,6,loamy,chemical,Vegetative
25.9,50.3,11.0,3,loamy,chemical,Flowering
22.4,49.7,10.4,5,loamy,chemical,Flowering
25.7,56.4,8.7,5,loamy,chemical,Flowering
26.9,55.2,9.7,4,loamy,chemical,Fruiting
18.6,83.2,6.8,6,loamy,none,Seedling
22.0,64.6,8.7,5,loamy,organic,Vegetative
25.8,56.9,10.0,4,loamy,organic,Flowering
25.8,46.2,8.8,4,loamy,organic,Flowering
24.3,56.0,8.5,4,loamy,chemical,Vegetative
24.2,46.7,8.5,4,loamy,chemical,Flowering
29.8,60.8,10.0,5,loamy,organic,Fruiting
24.8,58.6,11.7,6,loamy,organic,Fruiting
20.6,46.2,10.5,4,loamy,organic,Flowering
23.7,46.5,11.4,5,loamy,chemical,Flowering
28.7,61.4,11.4,5,clay,chemical,Fruiting
21.4,47.4,9.3,5,loamy,chemical,Flowering
21.7,56.5,11.3,3,loamy,chemical,Flowering
18.2,80.0,4.5,7,sandy,organic,Seedling
25.2,48.1,8.8,3,loamy,chemical,Flowering
24.8,56.1,7.9,6,clay,organic,Vegetative
22.6,58.1,7.7,6,clay,chemical,Vegetative
26.8,50.9,11.4,5,clay,organic,Fruiting
28.6,56.6,13.2,5,clay,organic,Fruiting
24.8,61.1,13.6,5,loamy,chemical,Fruiting
25.1,56.9,9.8,5,loamy,organic,Flowering
21.9,79.0,6.1,7,sandy,organic,Seedling
23.7,66.7,5.1,5,sandy,organic,Seedling
26.6,61.2,10.7,6,loamy,organic,Fruiting
18.7,74.8,4.1,6,sandy,organic,Seedling
29.4,59.8,11.7,5,loamy,chemical,Fruiting
22.8,81.3,4.7,6,sandy,organic,Seedling
26.7,60.9,7.0,6,clay,chemical,Vegetative
19.7,67.6,4.3,6,sandy,none,Seedling
26.6,56.5,9.0,5,clay,chemical,Vegetative
25.3,61.9,7.4,5,clay,organic,Vegetative
26.9,62.2,6.1,4,clay,organic,Vegetative
24.4,54.4,12.5,5,loamy,organic,Fruiting
20.7,59.0,11.0,5,loamy,organic,Flowering
25.9,68.1,8.4,6,loamy,chemical,Vegetative
19.7,83.8,4.3,5,loamy,organic,Seedling
19.1,81.7,6.6,6,loamy,organic,Seedling
25.7,63.6,13.3,4,loamy,organic,Fruiting
25.0,66.4,6.9,5,loamy,organic,Vegetative
25.4,61.9,8.3,6,loamy,organic,Vegetative
21.3,70.6,5.2,6,sandy,none,Seedling
22.2,58.1,9.2,3,loamy,chemical,Flowering
20.0,72.5,5.8,7,loamy,organic,Seedling
25.0,57.6,8.8,5,loamy,organic,Flowering
27.1,53.8,9.1,4,loamy,organic,Fruiting
23.7,49.0,8.1,4,loamy,organic,Flowering
25.8,67.2,6.8,6,loamy,organic,Vegetative
23.1,55.2,11.6,4,loamy,chemical,Flowering
21.1,74.5,4.6,6,sandy,none,Seedling
28.9,63.4,9.2,6,loamy,chemical,Fruiting
26.8,56.8,7.4,5,clay,organic,Vegetative
24.0,51.5,8.6,5,loamy,organic,Flowering
19.8,72.0,6.8,6,sandy,none,Seedling
24.3,59.4,10.5,4,loamy,organic,Fruiting
18.5,75.7,4.5,6,sandy,none,Seedling
21.8,78.0,4.9,6,loamy,none,Seedling
21.3,48.4,11.4,5,loamy,organic,Flowering
23.4,62.7,6.6,6,loamy,organic,Vegetative
22.5,50.3,8.2,3,loamy,organic,Flowering
28.4,53.1,11.8,4,clay,chemical,Fruiting
25.3,64.6,7.6,5,loamy,chemical,Vegetative
28.9,58.5,11.8,5,loamy,organic,Fruiting
25.4,64.9,11.0,5,loamy,organic,Fruiting
26.2,55.4,13.3,4,clay,chemical,Fruiting
18.1,68.3,6.2,7,sandy,organic,Seedling
23.8,65.9,4.3,5,sandy,none,Seedling
21.2,48.1,9.2,5,loamy,organic,Flowering
27.4,66.8,7.1,4,clay,chemical,Vegetative
24.9,51.5,9.3,6,loamy,chemical,Fruiting
22.3,73.3,5.3,6,sandy,none,Seedling
21.2,45.5,11.1,5,loamy,chemical,Flowering
27.6,69.0,7.7,5,loamy,organic,Vegetative
22.1,52.6,11.3,5,loamy,organic,Flowering
23.7,77.1,6.0,5,loamy,none,Seedling
19.3,84.3,4.2,7,sandy,organic,Seedling
27.1,64.6,7.3,4,loamy,organic,Vegetative
21.5,55.2,11.5,3,loamy,organic,Flowering
26.8,58.8,9.0,5,loamy,chemical,Vegetative
19.9,70.7,6.3,7,sandy,none,Seedling
22.2,56.3,9.1,4,loamy,organic,Flowering
21.7,76.0,4.6,6,loamy,none,Seedling
24.0,57.3,12.0,4,loamy,organic,Flowering
25.0,53.1,10.0,6,clay,organic,Fruiting
24.4,52.3,10.2,4,loamy,organic,Flowering
24.2,66.0,8.5,4,loamy,organic,Vegetative
25.2,61.8,10.4,5,clay,chemical,Fruiting
25.7,48.9,11.1,4,loamy,chemical,Flowering
28.8,64.1,11.1,4,clay,organic,Fruiting
19.5,82.8,6.8,6,sandy,organic,Seedling
28.8,56.2,12.7,5,clay,organic,Fruiting
20.4,52.7,10.3,4,loamy,chemical,Flowering
23.9,55.1,6.3,5,clay,organic,Vegetative
29.9,54.7,13.8,4,loamy,organic,Fruiting
24.5,69.1,8.9,4,loamy,organic,Vegetative
25.8,53.7,11.6,5,loamy,chemical,Flowering
20.5,48.7,9.3,3,loamy,organic,Flowering
23.1,76.0,4.6,5,sandy,organic,Seedling
18.8,79.3,4.6,6,loamy,organic,Seedling
27.7,59.3,7.0,4,clay,chemical,Vegetative
22.8,67.9,6.1,6,loamy,organic,Seedling
24.2,56.8,9.2,6,clay,chemical,Fruiting
26.8,65.3,6.7,4,clay,organic,Vegetative
21.1,46.0,11.8,4,loamy,chemical,Flowering
22.8,57.0,7.8,4,loamy,chemical,Vegetative
25.5,50.1,8.6,5,loamy,chemical,Flowering
20.5,67.9,4.5,5,loamy,organic,Seedling
23.6,55.4,9.4,3,loamy,organic,Flowering
27.7,54.8,11.8,4,loamy,organic,Fruiting
21.8,68.5,4.8,6,sandy,none,Seedling
25.0,56.8,7.7,6,loamy,chemical,Vegetative
24.5,61.9,7.0,6,clay,organic,Vegetative
23.4,80.8,4.5,5,loamy,none,Seedling
26.2,51.0,10.8,5,clay,organic,Fruiting
29.5,58.8,13.0,4,loamy,chemical,Fruiting
24.8,56.2,10.2,5,loamy,chemical,Fruiting
24.2,55.7,8.6,3,loamy,organic,Flowering
26.4,50.0,12.1,5,loamy,chemical,Fruiting
